id,subject,body,intent
45,release plan — meeting?,"Hi Sneha,

Can we schedule a meeting next Monday to discuss release plan? I'm available in the afternoon.

Thanks,
Sneha",meeting_request
46,Quick sync on integration work,"Hello Sanjay,

I would like to set up a quick meeting about integration work. Are you free Wednesday morning?

Regards,
Sanjay",meeting_request
47,Request to schedule a meeting,"Hello Neha,

I would like to set up a quick meeting about data pipeline. Are you free on June 12?

Regards,
Neha",meeting_request
48,Quick sync on product demo,"Dear Rahul,

Let's meet to go over product demo. Please suggest a suitable slot next week.

Best,
Rahul",meeting_request
49,Can we meet about Q1 review?,"Hi Ashwin,

Can we schedule a meeting tomorrow to discuss Q1 review? I'm available in the afternoon.

Thanks,
Ashwin",meeting_request
50,product demo — meeting?,"Dear Asha,

Let's meet to go over product demo. Please suggest a suitable slot on June 12.

Best,
Asha",meeting_request
51,Meeting request: product demo,"Hi,

Can you spare 15 minutes tomorrow to discuss product demo? Let me know what works.

Thanks,
Rahul",meeting_request
52,Quick sync on release notes,"Hi Asha,

Can we schedule a meeting next Monday to discuss release notes? I'm available in the afternoon.

Thanks,
Asha",meeting_request
53,Quick sync on release notes,"Hi Anita,

Can we schedule a meeting on June 12 to discuss release notes? I'm available in the afternoon.

Thanks,
Anita",meeting_request
54,Can we meet about Q1 review?,"Dear Vikram,

Let's meet to go over Q1 review. Please suggest a suitable slot tomorrow.

Best,
Vikram",meeting_request
55,deployment issues — meeting?,"Hi Maya,

Can we schedule a meeting tomorrow to discuss deployment issues? I'm available in the afternoon.

Thanks,
Maya",meeting_request
56,Can we meet about project status?,"Dear Sameer,

Let's meet to go over project status. Please suggest a suitable slot Wednesday morning.

Best,
Sameer",meeting_request
57,Meeting request: data pipeline,"Dear Sanjay,

Let's meet to go over data pipeline. Please suggest a suitable slot Monday at 10 AM.

Best,
Sanjay",meeting_request
58,Request to schedule a meeting,"Hi Divya,

Can we schedule a meeting this afternoon to discuss integration work? I'm available in the afternoon.

Thanks,
Divya",meeting_request
59,integration work — meeting?,"Hello Divya,

I would like to set up a quick meeting about integration work. Are you free on June 12?

Regards,
Divya",meeting_request
60,Meeting request: product demo,"Hello Divya,

I would like to set up a quick meeting about product demo. Are you free tomorrow at 11am?

Regards,
Divya",meeting_request
61,Quick sync on deployment issues,"Hi,

Can you spare 15 minutes next Thursday to discuss deployment issues? Let me know what works.

Thanks,
Manoj",meeting_request
62,Can we meet about data pipeline?,"Dear Sanjay,

Let's meet to go over data pipeline. Please suggest a suitable slot on June 12.

Best,
Sanjay",meeting_request
63,Meeting request: release notes,"Hi,

Can you spare 15 minutes this afternoon to discuss release notes? Let me know what works.

Thanks,
Vikram",meeting_request
64,Quick sync on product demo,"Hi,

Can you spare 15 minutes next Monday to discuss product demo? Let me know what works.

Thanks,
Ashwin",meeting_request
65,Request to schedule a meeting,"Hello Kavya,

I would like to set up a quick meeting about release plan. Are you free on June 12?

Regards,
Kavya",meeting_request
66,release notes — meeting?,"Hi Maya,

Can we schedule a meeting Friday at 3 PM to discuss release notes? I'm available in the afternoon.

Thanks,
Maya",meeting_request
67,Quick sync on project status,"Hello Leena,

I would like to set up a quick meeting about project status. Are you free next Monday?

Regards,
Leena",meeting_request
68,Request to schedule a meeting,"Dear Kiran,

Let's meet to go over deployment issues. Please suggest a suitable slot next Thursday.

Best,
Kiran",meeting_request
69,Request to schedule a meeting,"Hi,

Can you spare 15 minutes on June 12 to discuss deployment issues? Let me know what works.

Thanks,
Asha",meeting_request
70,Can we meet about integration work?,"Hello Arjun,

I would like to set up a quick meeting about integration work. Are you free next Monday?

Regards,
Arjun",meeting_request
71,Request to schedule a meeting,"Hi,

Can you spare 15 minutes this afternoon to discuss data pipeline? Let me know what works.

Thanks,
Arjun",meeting_request
72,Quick sync on release notes,"Dear Neha,

Let's meet to go over release notes. Please suggest a suitable slot Wednesday morning.

Best,
Neha",meeting_request
73,product demo — meeting?,"Dear Dev,

Let's meet to go over product demo. Please suggest a suitable slot Monday at 10 AM.

Best,
Dev",meeting_request
74,Meeting request: integration work,"Hi Neha,

Can we schedule a meeting next Monday to discuss integration work? I'm available in the afternoon.

Thanks,
Neha",meeting_request
75,product demo — meeting?,"Hello Rohit,

I would like to set up a quick meeting about product demo. Are you free Friday at 3 PM?

Regards,
Rohit",meeting_request
76,Quick sync on release plan,"Hi Arjun,

Can we schedule a meeting on June 12 to discuss release plan? I'm available in the afternoon.

Thanks,
Arjun",meeting_request
77,Can we meet about Q1 review?,"Hello Manoj,

I would like to set up a quick meeting about Q1 review. Are you free this afternoon?

Regards,
Manoj",meeting_request
78,Request to schedule a meeting,"Dear Rahul,

Let's meet to go over project status. Please suggest a suitable slot tomorrow.

Best,
Rahul",meeting_request
79,Request to schedule a meeting,"Dear Sneha,

Let's meet to go over release plan. Please suggest a suitable slot on June 12.

Best,
Sneha",meeting_request
80,Request to schedule a meeting,"Hello Sneha,

I would like to set up a quick meeting about release plan. Are you free next week?

Regards,
Sneha",meeting_request
81,Meeting request: Q1 review,"Hello Ashwin,

I would like to set up a quick meeting about Q1 review. Are you free tomorrow at 11am?

Regards,
Ashwin",meeting_request
82,Request to schedule a meeting,"Hi,

Can you spare 15 minutes on June 12 to discuss project status? Let me know what works.

Thanks,
Kavya",meeting_request
83,Can we meet about integration work?,"Hi Vikram,

Can we schedule a meeting Friday at 3 PM to discuss integration work? I'm available in the afternoon.

Thanks,
Vikram",meeting_request
84,release notes — meeting?,"Hi Vikram,

Can we schedule a meeting Wednesday morning to discuss release notes? I'm available in the afternoon.

Thanks,
Vikram",meeting_request
85,Can we meet about release plan?,"Dear Arjun,

Let's meet to go over release plan. Please suggest a suitable slot next Monday.

Best,
Arjun",meeting_request
86,product demo — meeting?,"Hi Kavya,

Can we schedule a meeting next Monday to discuss product demo? I'm available in the afternoon.

Thanks,
Kavya",meeting_request
87,Quick sync on release notes,"Hi,

Can you spare 15 minutes tomorrow to discuss release notes? Let me know what works.

Thanks,
Ashwin",meeting_request
88,Can we meet about deployment issues?,"Hello Anita,

I would like to set up a quick meeting about deployment issues. Are you free Wednesday morning?

Regards,
Anita",meeting_request
89,Quick sync on deployment issues,"Hi,

Can you spare 15 minutes this afternoon to discuss deployment issues? Let me know what works.

Thanks,
Sneha",meeting_request
90,Meeting request: release notes,"Hi,

Can you spare 15 minutes tomorrow at 11am to discuss release notes? Let me know what works.

Thanks,
Neha",meeting_request
91,data pipeline — meeting?,"Dear Priya,

Let's meet to go over data pipeline. Please suggest a suitable slot Monday at 10 AM.

Best,
Priya",meeting_request
92,Can we meet about release plan?,"Hi,

Can you spare 15 minutes tomorrow at 11am to discuss release plan? Let me know what works.

Thanks,
Arjun",meeting_request
93,Can we meet about project status?,"Hi Sanjay,

Can we schedule a meeting tomorrow at 11am to discuss project status? I'm available in the afternoon.

Thanks,
Sanjay",meeting_request
94,Meeting request: integration work,"Hello Isha,

I would like to set up a quick meeting about integration work. Are you free Friday at 3 PM?

Regards,
Isha",meeting_request
95,Request to schedule a meeting,"Hello Kavya,

I would like to set up a quick meeting about release plan. Are you free Monday at 10 AM?

Regards,
Kavya",meeting_request
96,Request to schedule a meeting,"Hi,

Can you spare 15 minutes Wednesday morning to discuss product demo? Let me know what works.

Thanks,
Asha",meeting_request
97,Quick sync on integration work,"Hi Rohit,

Can we schedule a meeting Wednesday morning to discuss integration work? I'm available in the afternoon.

Thanks,
Rohit",meeting_request
98,Can we meet about Q1 review?,"Hi Arjun,

Can we schedule a meeting Monday at 10 AM to discuss Q1 review? I'm available in the afternoon.

Thanks,
Arjun",meeting_request
99,Request to schedule a meeting,"Hello Manoj,

I would like to set up a quick meeting about integration work. Are you free Friday at 3 PM?

Regards,
Manoj",meeting_request
100,Can we meet about release plan?,"Hi Sameer,

Can we schedule a meeting Friday at 3 PM to discuss release plan? I'm available in the afternoon.

Thanks,
Sameer",meeting_request
101,Request to schedule a meeting,"Dear Rohit,

Let's meet to go over project status. Please suggest a suitable slot Wednesday morning.

Best,
Rohit",meeting_request
102,Meeting request: deployment issues,"Hi Sanjay,

Can we schedule a meeting Wednesday morning to discuss deployment issues? I'm available in the afternoon.

Thanks,
Sanjay",meeting_request
103,Quick sync on release notes,"Hi Priya,

Can we schedule a meeting Monday at 10 AM to discuss release notes? I'm available in the afternoon.

Thanks,
Priya",meeting_request
104,Quick sync on Q1 review,"Hello Dev,

I would like to set up a quick meeting about Q1 review. Are you free this afternoon?

Regards,
Dev",meeting_request
105,Meeting request: integration work,"Dear Arjun,

Let's meet to go over integration work. Please suggest a suitable slot next week.

Best,
Arjun",meeting_request
106,deployment issues — meeting?,"Hi Sameer,

Can we schedule a meeting on June 12 to discuss deployment issues? I'm available in the afternoon.

Thanks,
Sameer",meeting_request
107,Can we meet about Q1 review?,"Dear Sameer,

Let's meet to go over Q1 review. Please suggest a suitable slot tomorrow.

Best,
Sameer",meeting_request
108,Request to schedule a meeting,"Hi,

Can you spare 15 minutes Wednesday morning to discuss release plan? Let me know what works.

Thanks,
Arjun",meeting_request
109,Meeting request: release notes,"Hi,

Can you spare 15 minutes next Thursday to discuss release notes? Let me know what works.

Thanks,
Maya",meeting_request
110,Can we meet about project status?,"Hi Leena,

Can we schedule a meeting Monday at 10 AM to discuss project status? I'm available in the afternoon.

Thanks,
Leena",meeting_request
111,Request to schedule a meeting,"Hello Anita,

I would like to set up a quick meeting about product demo. Are you free tomorrow at 11am?

Regards,
Anita",meeting_request
112,Quick sync on product demo,"Dear Leena,

Let's meet to go over product demo. Please suggest a suitable slot on June 12.

Best,
Leena",meeting_request
113,Can we meet about release plan?,"Hello Rohit,

I would like to set up a quick meeting about release plan. Are you free next Thursday?

Regards,
Rohit",meeting_request
114,Request to schedule a meeting,"Hi Rahul,

Can we schedule a meeting tomorrow to discuss release notes? I'm available in the afternoon.

Thanks,
Rahul",meeting_request
115,Can we meet about Q1 review?,"Dear Kavya,

Let's meet to go over Q1 review. Please suggest a suitable slot Friday at 3 PM.

Best,
Kavya",meeting_request
116,Can we meet about project status?,"Hi,

Can you spare 15 minutes next Monday to discuss project status? Let me know what works.

Thanks,
Rahul",meeting_request
117,Request to schedule a meeting,"Hi,

Can you spare 15 minutes next Monday to discuss project status? Let me know what works.

Thanks,
Rohit",meeting_request
118,Can we meet about Q1 review?,"Dear Arjun,

Let's meet to go over Q1 review. Please suggest a suitable slot Monday at 10 AM.

Best,
Arjun",meeting_request
119,Meeting request: Q1 review,"Dear Dev,

Let's meet to go over Q1 review. Please suggest a suitable slot on June 12.

Best,
Dev",meeting_request
120,data pipeline — meeting?,"Dear Sameer,

Let's meet to go over data pipeline. Please suggest a suitable slot this afternoon.

Best,
Sameer",meeting_request
121,Request to schedule a meeting,"Hi,

Can you spare 15 minutes this afternoon to discuss release plan? Let me know what works.

Thanks,
Manoj",meeting_request
122,Quick sync on Q1 review,"Hello Asha,

I would like to set up a quick meeting about Q1 review. Are you free next Monday?

Regards,
Asha",meeting_request
123,Can we meet about data pipeline?,"Hello Asha,

I would like to set up a quick meeting about data pipeline. Are you free tomorrow at 11am?

Regards,
Asha",meeting_request
124,Quick sync on data pipeline,"Hi,

Can you spare 15 minutes next Thursday to discuss data pipeline? Let me know what works.

Thanks,
Dev",meeting_request
125,Request to schedule a meeting,"Hello Dev,

I would like to set up a quick meeting about Q1 review. Are you free on June 12?

Regards,
Dev",meeting_request
126,Can we meet about release notes?,"Dear Kavya,

Let's meet to go over release notes. Please suggest a suitable slot Monday at 10 AM.

Best,
Kavya",meeting_request
127,integration work — meeting?,"Hello Asha,

I would like to set up a quick meeting about integration work. Are you free next Thursday?

Regards,
Asha",meeting_request
128,Can we meet about release plan?,"Dear Dev,

Let's meet to go over release plan. Please suggest a suitable slot next week.

Best,
Dev",meeting_request
129,Request to schedule a meeting,"Hi,

Can you spare 15 minutes next Monday to discuss release notes? Let me know what works.

Thanks,
Rahul",meeting_request
130,Quick sync on Q1 review,"Hello Sanjay,

I would like to set up a quick meeting about Q1 review. Are you free this afternoon?

Regards,
Sanjay",meeting_request
131,Quick sync on release plan,"Hi,

Can you spare 15 minutes Friday at 3 PM to discuss release plan? Let me know what works.

Thanks,
Anita",meeting_request
132,Meeting request: Q1 review,"Hi Anita,

Can we schedule a meeting next Thursday to discuss Q1 review? I'm available in the afternoon.

Thanks,
Anita",meeting_request
133,integration work — meeting?,"Dear Rohit,

Let's meet to go over integration work. Please suggest a suitable slot next week.

Best,
Rohit",meeting_request
134,Can we meet about deployment issues?,"Hi,

Can you spare 15 minutes Friday at 3 PM to discuss deployment issues? Let me know what works.

Thanks,
Sanjay",meeting_request
135,Q1 review — meeting?,"Dear Priya,

Let's meet to go over Q1 review. Please suggest a suitable slot Friday at 3 PM.

Best,
Priya",meeting_request
136,deployment issues — meeting?,"Hello Leena,

I would like to set up a quick meeting about deployment issues. Are you free next Thursday?

Regards,
Leena",meeting_request
137,Request to schedule a meeting,"Dear Isha,

Let's meet to go over project status. Please suggest a suitable slot next week.

Best,
Isha",meeting_request
138,Meeting request: data pipeline,"Hi Rahul,

Can we schedule a meeting Friday at 3 PM to discuss data pipeline? I'm available in the afternoon.

Thanks,
Rahul",meeting_request
139,data pipeline — meeting?,"Hi Kiran,

Can we schedule a meeting on June 12 to discuss data pipeline? I'm available in the afternoon.

Thanks,
Kiran",meeting_request
140,Can we meet about release notes?,"Dear Sanjay,

Let's meet to go over release notes. Please suggest a suitable slot next Thursday.

Best,
Sanjay",meeting_request
141,Q1 review — meeting?,"Hi Rahul,

Can we schedule a meeting Monday at 10 AM to discuss Q1 review? I'm available in the afternoon.

Thanks,
Rahul",meeting_request
142,Request to schedule a meeting,"Hi,

Can you spare 15 minutes Friday at 3 PM to discuss release notes? Let me know what works.

Thanks,
Leena",meeting_request
143,Can we meet about integration work?,"Hi Divya,

Can we schedule a meeting next Monday to discuss integration work? I'm available in the afternoon.

Thanks,
Divya",meeting_request
144,Request to schedule a meeting,"Hi Divya,

Can we schedule a meeting next Thursday to discuss project status? I'm available in the afternoon.

Thanks,
Divya",meeting_request
145,Meeting request: release notes,"Hello Ashwin,

I would like to set up a quick meeting about release notes. Are you free on June 12?

Regards,
Ashwin",meeting_request
146,Meeting request: deployment issues,"Dear Kavya,

Let's meet to go over deployment issues. Please suggest a suitable slot tomorrow.

Best,
Kavya",meeting_request
147,Request to schedule a meeting,"Hello Sneha,

I would like to set up a quick meeting about integration work. Are you free tomorrow?

Regards,
Sneha",meeting_request
148,project status — meeting?,"Hello Sameer,

I would like to set up a quick meeting about project status. Are you free tomorrow at 11am?

Regards,
Sameer",meeting_request
149,Q1 review — meeting?,"Hi Divya,

Can we schedule a meeting tomorrow to discuss Q1 review? I'm available in the afternoon.

Thanks,
Divya",meeting_request
150,Quick sync on deployment issues,"Hi,

Can you spare 15 minutes Wednesday morning to discuss deployment issues? Let me know what works.

Thanks,
Divya",meeting_request
151,Request to schedule a meeting,"Hi,

Can you spare 15 minutes next Monday to discuss release notes? Let me know what works.

Thanks,
Kiran",meeting_request
152,Can we meet about release notes?,"Hi,

Can you spare 15 minutes this afternoon to discuss release notes? Let me know what works.

Thanks,
Kavya",meeting_request
153,Quick sync on Q1 review,"Hi,

Can you spare 15 minutes tomorrow at 11am to discuss Q1 review? Let me know what works.

Thanks,
Leena",meeting_request
154,Quick sync on product demo,"Hi Ashwin,

Can we schedule a meeting on June 12 to discuss product demo? I'm available in the afternoon.

Thanks,
Ashwin",meeting_request
155,Meeting request: project status,"Dear Rahul,

Let's meet to go over project status. Please suggest a suitable slot on June 12.

Best,
Rahul",meeting_request
156,Can we meet about Q1 review?,"Hello Sanjay,

I would like to set up a quick meeting about Q1 review. Are you free tomorrow?

Regards,
Sanjay",meeting_request
157,Quick sync on release notes,"Hi Isha,

Can we schedule a meeting next week to discuss release notes? I'm available in the afternoon.

Thanks,
Isha",meeting_request
158,Request to schedule a meeting,"Dear Kiran,

Let's meet to go over project status. Please suggest a suitable slot Wednesday morning.

Best,
Kiran",meeting_request
159,Meeting request: deployment issues,"Hello Kiran,

I would like to set up a quick meeting about deployment issues. Are you free Friday at 3 PM?

Regards,
Kiran",meeting_request
160,Can we meet about deployment issues?,"Hi Sanjay,

Can we schedule a meeting tomorrow at 11am to discuss deployment issues? I'm available in the afternoon.

Thanks,
Sanjay",meeting_request
161,Quick sync on data pipeline,"Hi Leena,

Can we schedule a meeting next Monday to discuss data pipeline? I'm available in the afternoon.

Thanks,
Leena",meeting_request
162,Can we meet about deployment issues?,"Hi,

Can you spare 15 minutes tomorrow to discuss deployment issues? Let me know what works.

Thanks,
Priya",meeting_request
163,Request to schedule a meeting,"Hi Maya,

Can we schedule a meeting next Monday to discuss product demo? I'm available in the afternoon.

Thanks,
Maya",meeting_request
164,Quick sync on Q1 review,"Hello Divya,

I would like to set up a quick meeting about Q1 review. Are you free this afternoon?

Regards,
Divya",meeting_request
165,release notes — meeting?,"Hello Leena,

I would like to set up a quick meeting about release notes. Are you free next week?

Regards,
Leena",meeting_request
166,Can we meet about product demo?,"Hello Dev,

I would like to set up a quick meeting about product demo. Are you free on June 12?

Regards,
Dev",meeting_request
167,release plan — meeting?,"Hi,

Can you spare 15 minutes tomorrow to discuss release plan? Let me know what works.

Thanks,
Vikram",meeting_request
168,Quick sync on release plan,"Hi,

Can you spare 15 minutes tomorrow at 11am to discuss release plan? Let me know what works.

Thanks,
Ashwin",meeting_request
169,Request to schedule a meeting,"Dear Isha,

Let's meet to go over release plan. Please suggest a suitable slot next Thursday.

Best,
Isha",meeting_request
170,deployment issues — meeting?,"Hello Rohit,

I would like to set up a quick meeting about deployment issues. Are you free next Monday?

Regards,
Rohit",meeting_request
171,Q1 review — meeting?,"Hi,

Can you spare 15 minutes Monday at 10 AM to discuss Q1 review? Let me know what works.

Thanks,
Rahul",meeting_request
172,release notes — meeting?,"Hello Sneha,

I would like to set up a quick meeting about release notes. Are you free Wednesday morning?

Regards,
Sneha",meeting_request
173,Quick sync on release notes,"Dear Neha,

Let's meet to go over release notes. Please suggest a suitable slot Wednesday morning.

Best,
Neha",meeting_request
174,product demo — meeting?,"Hello Vikram,

I would like to set up a quick meeting about product demo. Are you free this afternoon?

Regards,
Vikram",meeting_request
175,Request to schedule a meeting,"Dear Priya,

Let's meet to go over product demo. Please suggest a suitable slot on June 12.

Best,
Priya",meeting_request
176,Request to schedule a meeting,"Dear Maya,

Let's meet to go over product demo. Please suggest a suitable slot Friday at 3 PM.

Best,
Maya",meeting_request
177,Quick sync on integration work,"Hello Sameer,

I would like to set up a quick meeting about integration work. Are you free next Thursday?

Regards,
Sameer",meeting_request
178,Quick sync on project status,"Hi,

Can you spare 15 minutes next Monday to discuss project status? Let me know what works.

Thanks,
Kiran",meeting_request
179,project status — meeting?,"Dear Divya,

Let's meet to go over project status. Please suggest a suitable slot on June 12.

Best,
Divya",meeting_request
180,Can we meet about data pipeline?,"Hi Maya,

Can we schedule a meeting tomorrow to discuss data pipeline? I'm available in the afternoon.

Thanks,
Maya",meeting_request
181,Quick sync on product demo,"Hi Isha,

Can we schedule a meeting Friday at 3 PM to discuss product demo? I'm available in the afternoon.

Thanks,
Isha",meeting_request
182,Request to schedule a meeting,"Hi Dev,

Can we schedule a meeting next Thursday to discuss data pipeline? I'm available in the afternoon.

Thanks,
Dev",meeting_request
183,Meeting request: data pipeline,"Hi,

Can you spare 15 minutes Wednesday morning to discuss data pipeline? Let me know what works.

Thanks,
Sneha",meeting_request
184,Meeting request: release notes,"Hi Arjun,

Can we schedule a meeting Monday at 10 AM to discuss release notes? I'm available in the afternoon.

Thanks,
Arjun",meeting_request
185,Meeting request: integration work,"Hello Ashwin,

I would like to set up a quick meeting about integration work. Are you free Friday at 3 PM?

Regards,
Ashwin",meeting_request
186,Request to schedule a meeting,"Dear Priya,

Let's meet to go over data pipeline. Please suggest a suitable slot next Monday.

Best,
Priya",meeting_request
187,Can we meet about Q1 review?,"Hi Ashwin,

Can we schedule a meeting tomorrow at 11am to discuss Q1 review? I'm available in the afternoon.

Thanks,
Ashwin",meeting_request
188,Quick sync on data pipeline,"Hi Anita,

Can we schedule a meeting Wednesday morning to discuss data pipeline? I'm available in the afternoon.

Thanks,
Anita",meeting_request
189,Request to schedule a meeting,"Hi,

Can you spare 15 minutes on June 12 to discuss Q1 review? Let me know what works.

Thanks,
Sneha",meeting_request
190,Meeting request: deployment issues,"Hi,

Can you spare 15 minutes Wednesday morning to discuss deployment issues? Let me know what works.

Thanks,
Sneha",meeting_request
191,integration work — meeting?,"Hi,

Can you spare 15 minutes Wednesday morning to discuss integration work? Let me know what works.

Thanks,
Vikram",meeting_request
192,Quick sync on deployment issues,"Dear Kavya,

Let's meet to go over deployment issues. Please suggest a suitable slot tomorrow at 11am.

Best,
Kavya",meeting_request
193,Quick sync on deployment issues,"Dear Dev,

Let's meet to go over deployment issues. Please suggest a suitable slot Monday at 10 AM.

Best,
Dev",meeting_request
194,Meeting request: project status,"Dear Divya,

Let's meet to go over project status. Please suggest a suitable slot Monday at 10 AM.

Best,
Divya",meeting_request
195,Request to schedule a meeting,"Hello Sameer,

I would like to set up a quick meeting about project status. Are you free tomorrow at 11am?

Regards,
Sameer",meeting_request
196,Quick sync on integration work,"Hello Vikram,

I would like to set up a quick meeting about integration work. Are you free next Thursday?

Regards,
Vikram",meeting_request
197,Quick sync on integration work,"Hi Priya,

Can we schedule a meeting next week to discuss integration work? I'm available in the afternoon.

Thanks,
Priya",meeting_request
198,Meeting request: Q1 review,"Dear Leena,

Let's meet to go over Q1 review. Please suggest a suitable slot Wednesday morning.

Best,
Leena",meeting_request
